Dataset: IRELAND
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[10/100] Train loss: 0.156008, Val composite loss: 0.150688, Val MAE: 2.901904, Val RMSE: 3.906486
[11/100] Train loss: 0.155601, Val composite loss: 0.150455, Val MAE: 2.928761, Val RMSE: 3.869763
[12/100] Train loss: 0.155415, Val composite loss: 0.148665, Val MAE: 2.865318, Val RMSE: 3.847935
[13/100] Train loss: 0.154976, Val composite loss: 0.149290, Val MAE: 2.876848, Val RMSE: 3.861705
[14/100] Train loss: 0.154592, Val composite loss: 0.147720, Val MAE: 2.853508, Val RMSE: 3.804420
[15/100] Train loss: 0.154536, Val composite loss: 0.148230, Val MAE: 2.863135, Val RMSE: 3.819465
[16/100] Train loss: 0.154361, Val composite loss: 0.147456, Val MAE: 2.840611, Val RMSE: 3.814296
[17/100] Train loss: 0.154256, Val composite loss: 0.147348, Val MAE: 2.837607, Val RMSE: 3.805854
[18/100] Train loss: 0.153874, Val composite loss: 0.148144, Val MAE: 2.857268, Val RMSE: 3.816114
[19/100] Train loss: 0.153506, Val composite loss: 0.147185, Val MAE: 2.850757, Val RMSE: 3.792177
[20/100] Train loss: 0.153370, Val composite loss: 0.147854, Val MAE: 2.862977, Val RMSE: 3.793018
[21/100] Train loss: 0.153136, Val composite loss: 0.147124, Val MAE: 2.834114, Val RMSE: 3.796609
[22/100] Train loss: 0.153070, Val composite loss: 0.146978, Val MAE: 2.832013, Val RMSE: 3.790576
[23/100] Train loss: 0.152885, Val composite loss: 0.146708, Val MAE: 2.828772, Val RMSE: 3.771853
[24/100] Train loss: 0.152561, Val composite loss: 0.146414, Val MAE: 2.821787, Val RMSE: 3.774995
[25/100] Train loss: 0.152475, Val composite loss: 0.146503, Val MAE: 2.829510, Val RMSE: 3.765165
[26/100] Train loss: 0.152270, Val composite loss: 0.146355, Val MAE: 2.819459, Val RMSE: 3.784858
[27/100] Train loss: 0.152225, Val composite loss: 0.146439, Val MAE: 2.825622, Val RMSE: 3.773282
[28/100] Train loss: 0.152126, Val composite loss: 0.145552, Val MAE: 2.799305, Val RMSE: 3.759752
[29/100] Train loss: 0.151796, Val composite loss: 0.146187, Val MAE: 2.821297, Val RMSE: 3.773580
[30/100] Train loss: 0.151701, Val composite loss: 0.146145, Val MAE: 2.825605, Val RMSE: 3.761915
[31/100] Train loss: 0.151512, Val composite loss: 0.145973, Val MAE: 2.810806, Val RMSE: 3.779803
[32/100] Train loss: 0.151357, Val composite loss: 0.145360, Val MAE: 2.802155, Val RMSE: 3.761529
[33/100] Train loss: 0.150946, Val composite loss: 0.145533, Val MAE: 2.807162, Val RMSE: 3.750902
[34/100] Train loss: 0.150985, Val composite loss: 0.145629, Val MAE: 2.812232, Val RMSE: 3.750363
[35/100] Train loss: 0.150909, Val composite loss: 0.146407, Val MAE: 2.830851, Val RMSE: 3.763927
[36/100] Train loss: 0.150769, Val composite loss: 0.145407, Val MAE: 2.803483, Val RMSE: 3.746046
[37/100] Train loss: 0.150788, Val composite loss: 0.145044, Val MAE: 2.792956, Val RMSE: 3.744006
[38/100] Train loss: 0.150520, Val composite loss: 0.145960, Val MAE: 2.816510, Val RMSE: 3.751011
[39/100] Train loss: 0.150534, Val composite loss: 0.145043, Val MAE: 2.798978, Val RMSE: 3.736005
[40/100] Train loss: 0.150437, Val composite loss: 0.145162, Val MAE: 2.800698, Val RMSE: 3.732411
[41/100] Train loss: 0.150274, Val composite loss: 0.145712, Val MAE: 2.812856, Val RMSE: 3.755207
[42/100] Train loss: 0.150202, Val composite loss: 0.147527, Val MAE: 2.841445, Val RMSE: 3.830986
[43/100] Train loss: 0.149301, Val composite loss: 0.144972, Val MAE: 2.796164, Val RMSE: 3.727619
[44/100] Train loss: 0.149197, Val composite loss: 0.144580, Val MAE: 2.788776, Val RMSE: 3.726368
[45/100] Train loss: 0.149171, Val composite loss: 0.146459, Val MAE: 2.819986, Val RMSE: 3.760150
[46/100] Train loss: 0.148927, Val composite loss: 0.144544, Val MAE: 2.777977, Val RMSE: 3.740829
[47/100] Train loss: 0.149002, Val composite loss: 0.144894, Val MAE: 2.790546, Val RMSE: 3.737619
[48/100] Train loss: 0.148788, Val composite loss: 0.145437, Val MAE: 2.801315, Val RMSE: 3.745607
[49/100] Train loss: 0.148599, Val composite loss: 0.145162, Val MAE: 2.796419, Val RMSE: 3.747201
[50/100] Train loss: 0.148448, Val composite loss: 0.144921, Val MAE: 2.793770, Val RMSE: 3.735958
[51/100] Train loss: 0.148369, Val composite loss: 0.145463, Val MAE: 2.797564, Val RMSE: 3.749099
[52/100] Train loss: 0.147624, Val composite loss: 0.145122, Val MAE: 2.794054, Val RMSE: 3.738333
[53/100] Train loss: 0.147580, Val composite loss: 0.144983, Val MAE: 2.782891, Val RMSE: 3.749611
[54/100] Train loss: 0.147413, Val composite loss: 0.145210, Val MAE: 2.793140, Val RMSE: 3.736817
[55/100] Train loss: 0.147290, Val composite loss: 0.146067, Val MAE: 2.806917, Val RMSE: 3.765707
[56/100] Train loss: 0.147155, Val composite loss: 0.146013, Val MAE: 2.821003, Val RMSE: 3.754414
[57/100] Train loss: 0.146521, Val composite loss: 0.144482, Val MAE: 2.778720, Val RMSE: 3.724751
[58/100] Train loss: 0.146421, Val composite loss: 0.145659, Val MAE: 2.803989, Val RMSE: 3.741585
[59/100] Train loss: 0.146376, Val composite loss: 0.144707, Val MAE: 2.783026, Val RMSE: 3.736834
[60/100] Train loss: 0.146172, Val composite loss: 0.145346, Val MAE: 2.793011, Val RMSE: 3.762537
[61/100] Train loss: 0.146204, Val composite loss: 0.144717, Val MAE: 2.783245, Val RMSE: 3.729723
[62/100] Train loss: 0.146012, Val composite loss: 0.144679, Val MAE: 2.784062, Val RMSE: 3.717113
[63/100] Train loss: 0.145498, Val composite loss: 0.144908, Val MAE: 2.787866, Val RMSE: 3.739944
[64/100] Train loss: 0.145281, Val composite loss: 0.145216, Val MAE: 2.789435, Val RMSE: 3.740344
[65/100] Train loss: 0.145203, Val composite loss: 0.145037, Val MAE: 2.788086, Val RMSE: 3.745739
[66/100] Train loss: 0.145128, Val composite loss: 0.144816, Val MAE: 2.783331, Val RMSE: 3.740997
[67/100] Train loss: 0.144998, Val composite loss: 0.144847, Val MAE: 2.789238, Val RMSE: 3.730826
[68/100] Train loss: 0.144524, Val composite loss: 0.144590, Val MAE: 2.777489, Val RMSE: 3.728522
Selected epoch: 57
Test MAE: 2.761666
Test RMSE: 3.709112

**------ Seed 5/15 ------**
[1/100] Train loss: 0.184794, Val composite loss: 0.160000, Val MAE: 3.119217, Val RMSE: 4.076917
[2/100] Train loss: 0.164605, Val composite loss: 0.157326, Val MAE: 3.069623, Val RMSE: 4.021248
[3/100] Train loss: 0.161643, Val composite loss: 0.154007, Val MAE: 2.979701, Val RMSE: 3.955669
[4/100] Train loss: 0.159893, Val composite loss: 0.152804, Val MAE: 2.984210, Val RMSE: 3.936605
[5/100] Train loss: 0.158316, Val composite loss: 0.151533, Val MAE: 2.935390, Val RMSE: 3.896755
[6/100] Train loss: 0.157577, Val composite loss: 0.154636, Val MAE: 2.982095, Val RMSE: 4.014363
[7/100] Train loss: 0.157193, Val composite loss: 0.152814, Val MAE: 2.979983, Val RMSE: 3.904248
[8/100] Train loss: 0.156540, Val composite loss: 0.150780, Val MAE: 2.916331, Val RMSE: 3.896520
[9/100] Train loss: 0.156121, Val composite loss: 0.151980, Val MAE: 2.940286, Val RMSE: 3.927191
[10/100] Train loss: 0.155674, Val composite loss: 0.150269, Val MAE: 2.896822, Val RMSE: 3.876384
[11/100] Train loss: 0.155422, Val composite loss: 0.148925, Val MAE: 2.871641, Val RMSE: 3.833960
[12/100] Train loss: 0.155081, Val composite loss: 0.148444, Val MAE: 2.855740, Val RMSE: 3.841003
[13/100] Train loss: 0.154833, Val composite loss: 0.149245, Val MAE: 2.882813, Val RMSE: 3.838179
