Dataset: USA
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[52/100] Train loss: 0.133005, Val composite loss: 0.143237, Val MAE: 1.203776, Val RMSE: 1.673974
[53/100] Train loss: 0.132905, Val composite loss: 0.142927, Val MAE: 1.201233, Val RMSE: 1.666395
[54/100] Train loss: 0.132649, Val composite loss: 0.142534, Val MAE: 1.202695, Val RMSE: 1.657352
[55/100] Train loss: 0.132665, Val composite loss: 0.142180, Val MAE: 1.203205, Val RMSE: 1.652764
[56/100] Train loss: 0.132448, Val composite loss: 0.142759, Val MAE: 1.201654, Val RMSE: 1.663279
[57/100] Train loss: 0.132466, Val composite loss: 0.142308, Val MAE: 1.203058, Val RMSE: 1.650659
[58/100] Train loss: 0.132465, Val composite loss: 0.143261, Val MAE: 1.203627, Val RMSE: 1.672566
[59/100] Train loss: 0.132178, Val composite loss: 0.142281, Val MAE: 1.200110, Val RMSE: 1.655813
Selected epoch: 48
Test MAE: 1.257313
Test RMSE: 1.711606

**------ Seed 5/15 ------**
[1/100] Train loss: 0.167880, Val composite loss: 0.155132, Val MAE: 1.322867, Val RMSE: 1.791009
[2/100] Train loss: 0.148408, Val composite loss: 0.149792, Val MAE: 1.266186, Val RMSE: 1.743292
[3/100] Train loss: 0.144832, Val composite loss: 0.147667, Val MAE: 1.257980, Val RMSE: 1.713343
[4/100] Train loss: 0.143238, Val composite loss: 0.146841, Val MAE: 1.251025, Val RMSE: 1.698900
[5/100] Train loss: 0.142058, Val composite loss: 0.148199, Val MAE: 1.249465, Val RMSE: 1.731423
[6/100] Train loss: 0.141065, Val composite loss: 0.146556, Val MAE: 1.253466, Val RMSE: 1.690622
[7/100] Train loss: 0.140564, Val composite loss: 0.147025, Val MAE: 1.234385, Val RMSE: 1.716166
[8/100] Train loss: 0.139918, Val composite loss: 0.145538, Val MAE: 1.249418, Val RMSE: 1.676897
[9/100] Train loss: 0.139351, Val composite loss: 0.144312, Val MAE: 1.226346, Val RMSE: 1.671986
[10/100] Train loss: 0.138992, Val composite loss: 0.144468, Val MAE: 1.228642, Val RMSE: 1.673069
[11/100] Train loss: 0.138598, Val composite loss: 0.144329, Val MAE: 1.219967, Val RMSE: 1.677365
[12/100] Train loss: 0.138402, Val composite loss: 0.146932, Val MAE: 1.277148, Val RMSE: 1.688805
[13/100] Train loss: 0.138267, Val composite loss: 0.144749, Val MAE: 1.220717, Val RMSE: 1.686500
[14/100] Train loss: 0.137938, Val composite loss: 0.144539, Val MAE: 1.218586, Val RMSE: 1.683934
[15/100] Train loss: 0.137319, Val composite loss: 0.143471, Val MAE: 1.215852, Val RMSE: 1.665416
[16/100] Train loss: 0.137115, Val composite loss: 0.144091, Val MAE: 1.231363, Val RMSE: 1.666064
[17/100] Train loss: 0.137185, Val composite loss: 0.143981, Val MAE: 1.214619, Val RMSE: 1.673828
[18/100] Train loss: 0.136801, Val composite loss: 0.143767, Val MAE: 1.221495, Val RMSE: 1.667403
[19/100] Train loss: 0.136740, Val composite loss: 0.143671, Val MAE: 1.215773, Val RMSE: 1.674308
[20/100] Train loss: 0.136822, Val composite loss: 0.143091, Val MAE: 1.214023, Val RMSE: 1.660379
[21/100] Train loss: 0.136605, Val composite loss: 0.145005, Val MAE: 1.216562, Val RMSE: 1.696396
[22/100] Train loss: 0.136392, Val composite loss: 0.143352, Val MAE: 1.216318, Val RMSE: 1.661933
[23/100] Train loss: 0.136328, Val composite loss: 0.144965, Val MAE: 1.218524, Val RMSE: 1.697209
[24/100] Train loss: 0.136255, Val composite loss: 0.143683, Val MAE: 1.216048, Val RMSE: 1.676118
