Dataset: UK
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[10/100] Train loss: 0.172378, Val composite loss: 0.163399, Val MAE: 2.915324, Val RMSE: 3.830058
[11/100] Train loss: 0.171852, Val composite loss: 0.164361, Val MAE: 2.936607, Val RMSE: 3.850533
[12/100] Train loss: 0.171797, Val composite loss: 0.162592, Val MAE: 2.890554, Val RMSE: 3.817154
[13/100] Train loss: 0.171247, Val composite loss: 0.162267, Val MAE: 2.876895, Val RMSE: 3.827606
[14/100] Train loss: 0.170928, Val composite loss: 0.163124, Val MAE: 2.903421, Val RMSE: 3.829281
[15/100] Train loss: 0.170143, Val composite loss: 0.161386, Val MAE: 2.869809, Val RMSE: 3.791061
[16/100] Train loss: 0.170108, Val composite loss: 0.163616, Val MAE: 2.894112, Val RMSE: 3.867066
[17/100] Train loss: 0.170223, Val composite loss: 0.162188, Val MAE: 2.891151, Val RMSE: 3.810591
[18/100] Train loss: 0.170062, Val composite loss: 0.162126, Val MAE: 2.890853, Val RMSE: 3.803349
[19/100] Train loss: 0.169357, Val composite loss: 0.162739, Val MAE: 2.905008, Val RMSE: 3.803850
[20/100] Train loss: 0.169022, Val composite loss: 0.161407, Val MAE: 2.862812, Val RMSE: 3.805989
[21/100] Train loss: 0.168400, Val composite loss: 0.161797, Val MAE: 2.888152, Val RMSE: 3.787301
[22/100] Train loss: 0.168100, Val composite loss: 0.163155, Val MAE: 2.916647, Val RMSE: 3.817083
[23/100] Train loss: 0.167838, Val composite loss: 0.160780, Val MAE: 2.863268, Val RMSE: 3.768688
[24/100] Train loss: 0.167796, Val composite loss: 0.164799, Val MAE: 2.953957, Val RMSE: 3.838687
[25/100] Train loss: 0.167567, Val composite loss: 0.161565, Val MAE: 2.862499, Val RMSE: 3.814333
[26/100] Train loss: 0.167597, Val composite loss: 0.161335, Val MAE: 2.867823, Val RMSE: 3.801883
[27/100] Train loss: 0.167159, Val composite loss: 0.161039, Val MAE: 2.867546, Val RMSE: 3.777907
[28/100] Train loss: 0.167055, Val composite loss: 0.160312, Val MAE: 2.854089, Val RMSE: 3.766492
[29/100] Train loss: 0.166726, Val composite loss: 0.160658, Val MAE: 2.848322, Val RMSE: 3.792005
[30/100] Train loss: 0.166541, Val composite loss: 0.160186, Val MAE: 2.848685, Val RMSE: 3.766797
[31/100] Train loss: 0.166742, Val composite loss: 0.160664, Val MAE: 2.850197, Val RMSE: 3.777745
[32/100] Train loss: 0.166251, Val composite loss: 0.161069, Val MAE: 2.858587, Val RMSE: 3.798537
[33/100] Train loss: 0.166065, Val composite loss: 0.160059, Val MAE: 2.840530, Val RMSE: 3.776542
[34/100] Train loss: 0.165683, Val composite loss: 0.162083, Val MAE: 2.885570, Val RMSE: 3.817136
[35/100] Train loss: 0.165684, Val composite loss: 0.161291, Val MAE: 2.863333, Val RMSE: 3.798522
[36/100] Train loss: 0.165804, Val composite loss: 0.161180, Val MAE: 2.872513, Val RMSE: 3.773543
[37/100] Train loss: 0.165532, Val composite loss: 0.160303, Val MAE: 2.852529, Val RMSE: 3.767313
[38/100] Train loss: 0.165069, Val composite loss: 0.161007, Val MAE: 2.871663, Val RMSE: 3.776431
[39/100] Train loss: 0.164440, Val composite loss: 0.159743, Val MAE: 2.836584, Val RMSE: 3.756808
[40/100] Train loss: 0.163897, Val composite loss: 0.159907, Val MAE: 2.844538, Val RMSE: 3.753673
[41/100] Train loss: 0.164085, Val composite loss: 0.159709, Val MAE: 2.838296, Val RMSE: 3.756386
[42/100] Train loss: 0.163682, Val composite loss: 0.161296, Val MAE: 2.855400, Val RMSE: 3.810236
